fire_load,W27X281_0.000_1_0.95,W27X281_0.000_1_0.85,W27X281_0.000_1_0.75,W27X281_0.000_1_0.50,W27X281_0.000_1_0.25,W27X281_0.000_1_0.15,W27X281_0.000_1_0.05
2000,0.9166666666666666,0.21875,0.010416666666666666,0.0,0.0,0.0,0.0
1900,0.8958333333333334,0.16666666666666666,0.010416666666666666,0.0,0.0,0.0,0.0
1800,0.8958333333333334,0.125,0.0,0.0,0.0,0.0,0.0
1700,0.875,0.11458333333333333,0.0,0.0,0.0,0.0,0.0
1600,0.8645833333333334,0.07291666666666667,0.0,0.0,0.0,0.0,0.0
1500,0.8333333333333334,0.03125,0.0,0.0,0.0,0.0,0.0
1400,0.78125,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1300,0.7291666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
1200,0.6458333333333334,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0
900,0.375,0.0,0.0,0.0,0.0,0.0,0.0
800,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0
700,0.22916666666666666,0.0,0.0,0.0,0.0,0.0,0.0
600,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
500,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
400,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
300,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
200,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
100,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
