fire_load,W33X241_0.000_1_0.95,W33X241_0.000_1_0.85,W33X241_0.000_1_0.75,W33X241_0.000_1_0.50,W33X241_0.000_1_0.25,W33X241_0.000_1_0.15,W33X241_0.000_1_0.05
2000,0.9791666666666666,0.4583333333333333,0.10416666666666667,0.0,0.0,0.0,0.0
1900,0.96875,0.3645833333333333,0.08333333333333333,0.0,0.0,0.0,0.0
1800,0.9583333333333334,0.3229166666666667,0.0625,0.0,0.0,0.0,0.0
1700,0.9583333333333334,0.2708333333333333,0.020833333333333332,0.0,0.0,0.0,0.0
1600,0.9479166666666666,0.25,0.010416666666666666,0.0,0.0,0.0,0.0
1500,0.9375,0.17708333333333334,0.010416666666666666,0.0,0.0,0.0,0.0
1400,0.90625,0.13541666666666666,0.0,0.0,0.0,0.0,0.0
1300,0.8958333333333334,0.10416666666666667,0.0,0.0,0.0,0.0,0.0
1200,0.8645833333333334,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
1100,0.84375,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1000,0.7708333333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
900,0.6770833333333334,0.0,0.0,0.0,0.0,0.0,0.0
800,0.59375,0.0,0.0,0.0,0.0,0.0,0.0
700,0.46875,0.0,0.0,0.0,0.0,0.0,0.0
600,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0
500,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0
400,0.19791666666666666,0.0,0.0,0.0,0.0,0.0,0.0
300,0.13541666666666666,0.0,0.0,0.0,0.0,0.0,0.0
200,0.125,0.0,0.0,0.0,0.0,0.0,0.0
100,0.125,0.0,0.0,0.0,0.0,0.0,0.0
