fire_load,W18X71_0.000_1_0.95,W18X71_0.000_1_0.85,W18X71_0.000_1_0.75,W18X71_0.000_1_0.50,W18X71_0.000_1_0.25,W18X71_0.000_1_0.15,W18X71_0.000_1_0.05
2000,0.9895833333333334,0.875,0.5208333333333334,0.020833333333333332,0.0,0.0,0.0
1900,0.9895833333333334,0.8541666666666666,0.4583333333333333,0.010416666666666666,0.0,0.0,0.0
1800,0.9895833333333334,0.84375,0.375,0.010416666666666666,0.0,0.0,0.0
1700,0.9895833333333334,0.8125,0.2916666666666667,0.0,0.0,0.0,0.0
1600,0.9895833333333334,0.78125,0.2708333333333333,0.0,0.0,0.0,0.0
1500,0.9895833333333334,0.6979166666666666,0.21875,0.0,0.0,0.0,0.0
1400,0.9895833333333334,0.6041666666666666,0.15625,0.0,0.0,0.0,0.0
1300,0.9791666666666666,0.5104166666666666,0.11458333333333333,0.0,0.0,0.0,0.0
1200,0.9791666666666666,0.4166666666666667,0.07291666666666667,0.0,0.0,0.0,0.0
1100,0.9791666666666666,0.3333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0
1000,0.9791666666666666,0.2604166666666667,0.020833333333333332,0.0,0.0,0.0,0.0
900,0.9583333333333334,0.20833333333333334,0.0,0.0,0.0,0.0,0.0
800,0.9479166666666666,0.125,0.0,0.0,0.0,0.0,0.0
700,0.9166666666666666,0.0625,0.0,0.0,0.0,0.0,0.0
600,0.8645833333333334,0.03125,0.0,0.0,0.0,0.0,0.0
500,0.78125,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
400,0.6666666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
300,0.5104166666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
200,0.40625,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
100,0.3958333333333333,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
