fire_load,W12X50_0.000_1_0.95,W12X50_0.000_1_0.85,W12X50_0.000_1_0.75,W12X50_0.000_1_0.50,W12X50_0.000_1_0.25,W12X50_0.000_1_0.15,W12X50_0.000_1_0.05
2000,0.9895833333333334,0.9270833333333334,0.8125,0.11458333333333333,0.0,0.0,0.0
1900,0.9895833333333334,0.9270833333333334,0.7916666666666666,0.10416666666666667,0.0,0.0,0.0
1800,0.9895833333333334,0.9270833333333334,0.6875,0.08333333333333333,0.0,0.0,0.0
1700,0.9895833333333334,0.8958333333333334,0.6145833333333334,0.03125,0.0,0.0,0.0
1600,0.9895833333333334,0.8958333333333334,0.53125,0.010416666666666666,0.0,0.0,0.0
1500,0.9895833333333334,0.8645833333333334,0.4583333333333333,0.010416666666666666,0.0,0.0,0.0
1400,0.9895833333333334,0.84375,0.34375,0.0,0.0,0.0,0.0
1300,0.9895833333333334,0.8020833333333334,0.28125,0.0,0.0,0.0,0.0
1200,0.9895833333333334,0.7395833333333334,0.25,0.0,0.0,0.0,0.0
1100,0.9895833333333334,0.625,0.15625,0.0,0.0,0.0,0.0
1000,0.9895833333333334,0.5208333333333334,0.11458333333333333,0.0,0.0,0.0,0.0
900,0.9791666666666666,0.375,0.052083333333333336,0.0,0.0,0.0,0.0
800,0.9791666666666666,0.3020833333333333,0.020833333333333332,0.0,0.0,0.0,0.0
700,0.9791666666666666,0.25,0.0,0.0,0.0,0.0,0.0
600,0.9479166666666666,0.14583333333333334,0.0,0.0,0.0,0.0,0.0
500,0.9166666666666666,0.09375,0.0,0.0,0.0,0.0,0.0
400,0.8541666666666666,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
300,0.75,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
200,0.6458333333333334,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
100,0.6458333333333334,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
