fire_load,W21X50_0.000_1_0.95,W21X50_0.000_1_0.85,W21X50_0.000_1_0.75,W21X50_0.000_1_0.50,W21X50_0.000_1_0.25,W21X50_0.000_1_0.15,W21X50_0.000_1_0.05
2000,0.9895833333333334,0.9375,0.8333333333333334,0.14583333333333334,0.0,0.0,0.0
1900,0.9895833333333334,0.9270833333333334,0.8125,0.10416666666666667,0.0,0.0,0.0
1800,0.9895833333333334,0.9270833333333334,0.7708333333333334,0.09375,0.0,0.0,0.0
1700,0.9895833333333334,0.9270833333333334,0.6875,0.07291666666666667,0.0,0.0,0.0
1600,0.9895833333333334,0.8958333333333334,0.59375,0.020833333333333332,0.0,0.0,0.0
1500,0.9895833333333334,0.8854166666666666,0.5,0.010416666666666666,0.0,0.0,0.0
1400,0.9895833333333334,0.8645833333333334,0.40625,0.010416666666666666,0.0,0.0,0.0
1300,0.9895833333333334,0.84375,0.3333333333333333,0.0,0.0,0.0,0.0
1200,0.9895833333333334,0.78125,0.2708333333333333,0.0,0.0,0.0,0.0
1100,0.9895833333333334,0.6979166666666666,0.19791666666666666,0.0,0.0,0.0,0.0
1000,0.9895833333333334,0.5729166666666666,0.13541666666666666,0.0,0.0,0.0,0.0
900,0.9895833333333334,0.5,0.07291666666666667,0.0,0.0,0.0,0.0
800,0.9791666666666666,0.34375,0.020833333333333332,0.0,0.0,0.0,0.0
700,0.9791666666666666,0.2604166666666667,0.010416666666666666,0.0,0.0,0.0,0.0
600,0.96875,0.1875,0.0,0.0,0.0,0.0,0.0
500,0.9479166666666666,0.10416666666666667,0.0,0.0,0.0,0.0,0.0
400,0.875,0.07291666666666667,0.0,0.0,0.0,0.0,0.0
300,0.7708333333333334,0.07291666666666667,0.0,0.0,0.0,0.0,0.0
200,0.6979166666666666,0.07291666666666667,0.0,0.0,0.0,0.0,0.0
100,0.6979166666666666,0.07291666666666667,0.0,0.0,0.0,0.0,0.0
