fire_load,W33X318_0.000_1_0.95,W33X318_0.000_1_0.85,W33X318_0.000_1_0.75,W33X318_0.000_1_0.50,W33X318_0.000_1_0.25,W33X318_0.000_1_0.15,W33X318_0.000_1_0.05
2000,0.9270833333333334,0.23958333333333334,0.010416666666666666,0.0,0.0,0.0,0.0
1900,0.8958333333333334,0.16666666666666666,0.010416666666666666,0.0,0.0,0.0,0.0
1800,0.8958333333333334,0.125,0.0,0.0,0.0,0.0,0.0
1700,0.875,0.11458333333333333,0.0,0.0,0.0,0.0,0.0
1600,0.8645833333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
1500,0.8541666666666666,0.03125,0.0,0.0,0.0,0.0,0.0
1400,0.8020833333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1300,0.7291666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1200,0.65625,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.4895833333333333,0.0,0.0,0.0,0.0,0.0,0.0
900,0.375,0.0,0.0,0.0,0.0,0.0,0.0
800,0.3020833333333333,0.0,0.0,0.0,0.0,0.0,0.0
700,0.25,0.0,0.0,0.0,0.0,0.0,0.0
600,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
500,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
300,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
200,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
100,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0
