fire_load,W16X89_0.000_1_0.95,W16X89_0.000_1_0.85,W16X89_0.000_1_0.75,W16X89_0.000_1_0.50,W16X89_0.000_1_0.25,W16X89_0.000_1_0.15,W16X89_0.000_1_0.05
2000,0.9895833333333334,0.8541666666666666,0.4791666666666667,0.010416666666666666,0.0,0.0,0.0
1900,0.9895833333333334,0.84375,0.3958333333333333,0.010416666666666666,0.0,0.0,0.0
1800,0.9895833333333334,0.8125,0.3229166666666667,0.0,0.0,0.0,0.0
1700,0.9895833333333334,0.7916666666666666,0.28125,0.0,0.0,0.0,0.0
1600,0.9895833333333334,0.71875,0.25,0.0,0.0,0.0,0.0
1500,0.9895833333333334,0.625,0.17708333333333334,0.0,0.0,0.0,0.0
1400,0.9791666666666666,0.5520833333333334,0.125,0.0,0.0,0.0,0.0
1300,0.9791666666666666,0.46875,0.09375,0.0,0.0,0.0,0.0
1200,0.9791666666666666,0.34375,0.052083333333333336,0.0,0.0,0.0,0.0
1100,0.9791666666666666,0.28125,0.020833333333333332,0.0,0.0,0.0,0.0
1000,0.96875,0.25,0.010416666666666666,0.0,0.0,0.0,0.0
900,0.9479166666666666,0.14583333333333334,0.0,0.0,0.0,0.0,0.0
800,0.9270833333333334,0.09375,0.0,0.0,0.0,0.0,0.0
700,0.8854166666666666,0.03125,0.0,0.0,0.0,0.0,0.0
600,0.8333333333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
500,0.7395833333333334,0.0,0.0,0.0,0.0,0.0,0.0
400,0.6145833333333334,0.0,0.0,0.0,0.0,0.0,0.0
300,0.4270833333333333,0.0,0.0,0.0,0.0,0.0,0.0
200,0.375,0.0,0.0,0.0,0.0,0.0,0.0
100,0.3645833333333333,0.0,0.0,0.0,0.0,0.0,0.0
