fire_load,W18X258_0.000_1_0.95,W18X258_0.000_1_0.85,W18X258_0.000_1_0.75,W18X258_0.000_1_0.50,W18X258_0.000_1_0.25,W18X258_0.000_1_0.15,W18X258_0.000_1_0.05
2000,0.875,0.11458333333333333,0.0,0.0,0.0,0.0,0.0
1900,0.8645833333333334,0.09375,0.0,0.0,0.0,0.0,0.0
1800,0.8541666666666666,0.07291666666666667,0.0,0.0,0.0,0.0,0.0
1700,0.8020833333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1600,0.7395833333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1500,0.6875,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
1400,0.625,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.4791666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.375,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.3020833333333333,0.0,0.0,0.0,0.0,0.0,0.0
900,0.25,0.0,0.0,0.0,0.0,0.0,0.0
800,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
700,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
600,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,0.0
500,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
400,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
300,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
200,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
100,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
