fire_load,W36X302_0.000_1_0.95,W36X302_0.000_1_0.85,W36X302_0.000_1_0.75,W36X302_0.000_1_0.50,W36X302_0.000_1_0.25,W36X302_0.000_1_0.15,W36X302_0.000_1_0.05
2000,0.9479166666666666,0.28125,0.03125,0.0,0.0,0.0,0.0
1900,0.9375,0.2604166666666667,0.020833333333333332,0.0,0.0,0.0,0.0
1800,0.9270833333333334,0.21875,0.010416666666666666,0.0,0.0,0.0,0.0
1700,0.8958333333333334,0.15625,0.010416666666666666,0.0,0.0,0.0,0.0
1600,0.8958333333333334,0.11458333333333333,0.0,0.0,0.0,0.0,0.0
1500,0.875,0.09375,0.0,0.0,0.0,0.0,0.0
1400,0.8541666666666666,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
1300,0.8333333333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1200,0.75,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1100,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.6041666666666666,0.0,0.0,0.0,0.0,0.0,0.0
900,0.4895833333333333,0.0,0.0,0.0,0.0,0.0,0.0
800,0.3958333333333333,0.0,0.0,0.0,0.0,0.0,0.0
700,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
600,0.23958333333333334,0.0,0.0,0.0,0.0,0.0,0.0
500,0.17708333333333334,0.0,0.0,0.0,0.0,0.0,0.0
400,0.11458333333333333,0.0,0.0,0.0,0.0,0.0,0.0
300,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
200,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
100,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
